timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,44910.83,45085.78,44910.83,45024.68,3.640837,163927.55
2024-01-01 00:01:00,44977.19,45045.33,44977.19,45017.83,33.752474,1519463.07
2024-01-01 00:02:00,44991.38,45103.85,44965.65,45050.03,5.488855,247273.08
2024-01-01 00:03:00,45056.78,45135.78,45056.78,45125.82,8.464271,381957.14
2024-01-01 00:04:00,45172.02,45222.19,44979.72,45114.17,21.673405,977777.67
2024-01-01 00:05:00,45145.48,45172.08,45043.52,45102.53,6.763597,305055.34
2024-01-01 00:06:00,45049.25,45271.64,45000.56,45181.21,0.483467,21843.63
2024-01-01 00:07:00,45164.4,45290.19,45078.54,45219.5,35.194199,1591463.99
2024-01-01 00:08:00,45222.95,45272.71,45175.16,45196.09,48.540245,2193829.32
2024-01-01 00:09:00,45184.23,45297.21,45027.18,45223.17,0.47394,21433.08
2024-01-01 00:10:00,45211.0,45283.41,45127.48,45200.06,1.545061,69836.84
2024-01-01 00:11:00,45122.24,45253.78,45122.24,45176.85,153.82559,6949356.12
2024-01-01 00:12:00,45124.76,45307.85,45124.76,45188.93,10.465164,472909.56
2024-01-01 00:13:00,45170.76,45170.76,44999.27,45093.64,7.428522,334979.08
2024-01-01 00:14:00,44954.42,45081.98,44954.42,45007.9,3.897849,175434.01
2024-01-01 00:15:00,45036.72,45036.72,44973.56,44980.0,1.574513,70821.59
2024-01-01 00:16:00,44918.32,45026.25,44809.42,44929.77,5.519976,248011.24
2024-01-01 00:17:00,44960.64,44986.56,44809.01,44945.36,31.869011,1432364.26
2024-01-01 00:18:00,44972.25,44972.25,44814.27,44900.36,7.217315,324060.08
2024-01-01 00:19:00,44875.99,44991.35,44667.19,44830.46,18.456676,827421.18
2024-01-01 00:20:00,44875.38,45041.77,44704.27,44903.03,104.434567,4689428.69
2024-01-01 00:21:00,44936.4,44946.1,44873.45,44891.86,3.093437,138870.13
2024-01-01 00:22:00,44877.99,45017.42,44877.99,44895.22,11.638428,522509.74
2024-01-01 00:23:00,44876.31,44876.31,44794.55,44824.7,33.334415,1494205.22
2024-01-01 00:24:00,44873.86,44873.86,44714.07,44797.8,1.823294,81679.54
2024-01-01 00:25:00,44808.19,44935.71,44680.07,44803.29,9.651171,432404.23
2024-01-01 00:26:00,44850.04,44850.04,44578.77,44746.44,122.546039,5483498.65
2024-01-01 00:27:00,44639.49,44787.85,44639.49,44765.0,4.435429,198552.02
2024-01-01 00:28:00,44769.41,44887.87,44727.95,44735.36,36.690571,1641365.82
